iter	Passed	Remaining
942	7966	481
943	7974	473
944	7982	464
945	7990	456
946	7999	447
947	8007	439
948	8016	430
949	8024	422
950	8032	413
951	8040	405
952	8048	396
953	8056	388
954	8065	380
955	8073	371
956	8082	363
957	8090	354
958	8098	346
959	8106	337
960	8114	329
961	8122	320
962	8130	312
963	8138	303
964	8160	295
965	8168	287
966	8175	279
967	8184	270
968	8193	262
969	8201	253
970	8209	245
971	8217	236
972	8226	228
973	8234	219
974	8242	211
975	8252	202
976	8260	194
977	8268	185
978	8276	177
979	8284	169
980	8293	160
981	8301	152
982	8309	143
983	8317	135
984	8326	126
985	8334	118
986	8341	109
987	8349	101
988	8359	92
989	8367	84
990	8376	76
991	8386	67
992	8395	59
993	8404	50
994	8413	42
995	8423	33
996	8432	25
997	8441	16
998	8449	8
999	8458	0
