iter	Passed	Remaining
629	3814	2240
630	3819	2233
631	3825	2227
632	3831	2221
633	3837	2215
634	3844	2209
635	3850	2203
636	3856	2197
637	3862	2191
638	3868	2185
639	3874	2179
640	3882	2174
641	3888	2168
642	3893	2161
643	3899	2155
644	3903	2148
645	3909	2142
646	3915	2136
647	3921	2129
648	3927	2124
649	3933	2118
650	3938	2111
651	3944	2105
652	3950	2099
653	3956	2093
654	3961	2086
655	3967	2080
656	3973	2074
657	3978	2068
658	3984	2061
659	3990	2055
660	3995	2049
661	4002	2043
662	4007	2037
663	4013	2030
664	4019	2024
665	4025	2018
666	4031	2012
667	4036	2006
668	4042	2000
669	4046	1992
670	4052	1986
671	4058	1980
672	4063	1974
673	4068	1967
674	4074	1962
675	4080	1955
676	4086	1949
677	4090	1942
678	4095	1936
679	4101	1930
680	4107	1923
681	4113	1917
682	4117	1911
683	4123	1904
684	4128	1898
685	4134	1892
686	4140	1886
687	4146	1880
688	4152	1874
689	4158	1868
690	4164	1862
691	4168	1855
692	4174	1849
693	4180	1843
694	4186	1837
695	4192	1831
696	4198	1825
697	4202	1818
698	4208	1812
699	4214	1806
700	4219	1799
701	4226	1793
702	4231	1787
703	4237	1781
704	4243	1775
705	4248	1769
706	4252	1762
707	4258	1756
708	4264	1750
709	4270	1744
710	4275	1737
711	4281	1731
712	4286	1725
713	4292	1719
714	4298	1713
715	4303	1707
716	4309	1701
717	4316	1695
718	4322	1689
719	4328	1683
720	4334	1677
721	4340	1671
722	4347	1665
723	4353	1659
724	4359	1653
725	4364	1647
726	4370	1641
727	4376	1635
728	4382	1629
729	4388	1623
730	4394	1617
731	4400	1610
732	4406	1605
733	4413	1599
734	4418	1593
735	4422	1586
736	4428	1580
737	4434	1574
738	4440	1568
739	4445	1562
740	4451	1555
741	4456	1549
742	4462	1543
743	4467	1537
744	4473	1531
745	4479	1525
746	4484	1518
747	4490	1512
748	4496	1506
749	4502	1500
750	4508	1494
751	4514	1488
752	4519	1482
753	4525	1476
754	4531	1470
755	4537	1464
756	4542	1458
757	4548	1452
758	4554	1446
759	4560	1440
760	4565	1433
761	4571	1427
